keys,en,zh_CN,fr,ja,ko,es
ui.text_placeholder,Enter text here,请输入文本,Saisissez du texte ici,ここにテキストを入力,여기에 텍스트를 입력하세요,Introduce texto aquí
TITLE_SELECT,Select,选择,Sélectionner,選択,선택,Seleccionar
SEARCH,Search,搜索,Rechercher,検索,검색,Buscar
SORT,Sort,排序,Trier,並べ替え,정렬,Ordenar
FILTERS,Filters,筛选,Filtres,フィルター,필터,Filtros
ALL,All,全部,Tout,すべて,전체,Todo
ADD,Add,添加,Ajouter,追加,추가,Añadir
REMOVE,Remove,移除,Retirer,削除,제거,Quitar
SAVE,Save,保存,Enregistrer,保存,저장,Guardar
CANCEL,Cancel,取消,Annuler,キャンセル,취소,Cancelar
LOADOUT_PANEL_ITEM_TITLE,{Title},{Title},{Title},{Title},{Title},{Title}
SELECTED_COUNT,Selected: {0},已选择: {0},Sélectionné : {0},選択中: {0},선택됨: {0},Seleccionado: {0}
FILTER_GROUP_CLASS,Class,职业,Classe,クラス,직업,Clase
FILTER_GROUP_TYPE,Type,类型,Type,タイプ,유형,Tipo
FILTER_GROUP_RARITY,Rarity,稀有度,Rareté,レア度,희귀도,Rareza
FILTER_GROUP_LAYOUT,Layout,布局,Disposition,レイアウト,레이아웃,Diseño
FILTER_GROUP_SCOPE,Scope,范围,Portée,範囲,범위,Ámbito
FILTER_GROUP_STACK,Stack,叠加,Cumul,スタック,중첩,Acumulación
FILTER_GROUP_FAVORITES,Favorites,收藏,Favoris,お気に入り,즐겨찾기,Favoritos
FILTER_GROUP_KEYWORD,Keyword,关键词,Mot-clé,キーワード,키워드,Palabra clave
FILTER_GROUP_TAG,Tag,标签,Étiquette,タグ,태그,Etiqueta
FILTER_GROUP_COST,Cost,费用,Coût,コスト,비용,Coste
FILTER_GROUP_ACT,Act,章节,Acte,幕,막,Acto
ACT_NUMBER,Act {0},第{0}章,Acte {0},第{0}幕,{0}막,Acto {0}
FILTER_GROUP_MONSTER_CATEGORY,Category,怪物类型,Catégorie,カテゴリー,분류,Categoría
LOADOUT_TARGET,Target,目标,Cible,対象,대상,Objetivo
LOADOUT_TARGET_ALL_PLAYERS,All Players,所有玩家,Tous les joueurs,すべてのプレイヤー,모든 플레이어,Todos los jugadores
LOADOUT_TARGET_ALL_MONSTERS,All Monsters,所有怪物,Tous les monstres,すべてのモンスター,모든 몬스터,Todos los monstruos
LOADOUT_TARGET_PLAYER_FALLBACK,Player {0},玩家 {0},Joueur {0},プレイヤー {0},플레이어 {0},Jugador {0}
SORT_NAME,Name,名称,Nom,名前,이름,Nombre
SORT_ID,ID,ID,ID,ID,ID,ID
SAVE_PERMANENT,Save Permanent,永久保存,Enregistrer définitivement,恒久的に保存,영구 저장,Guardar permanentemente
RESET_TEMPORARY,Reset Temporary,重置临时修改,Réinitialiser les modifications temporaires,一時変更をリセット,임시 변경 초기화,Restablecer cambios temporales
RESET_PERMANENT,Reset Permanent,重置永久修改,Réinitialiser les modifications permanentes,恒久変更をリセット,영구 변경 초기화,Restablecer cambios permanentes
CARD_MOD_ADD_COPIES_TO_DECK,Add Copies To Deck,添加卡牌复制进卡组,Ajouter une copie de la carte au deck,カードのコピーをデッキに追加,카드 복사본을 덱에 추가,Añadir una copia de la carta al mazo
CARD_MOD_NUMERIC_STATS,Numeric Stats,数值属性,Statistiques numériques,数値ステータス,수치 능력치,Estadísticas numéricas
CARD_MOD_ENERGY_COST,Energy Cost,费用,Coût d'énergie,エナジーコスト,에너지 비용,Coste de energía
CARD_MOD_REPLAY_COUNT,Replay Count,重放,Nombre de répétitions,再使用回数,재사용 횟수,Número de repeticiones
CARD_MOD_STAR_COST,Star Cost,辉星,Coût d'étoiles,スターコスト,별 비용,Coste de estrellas
CARD_MOD_CARD_FIELDS,Card Fields,卡牌字段,Champs de la carte,カード項目,카드 필드,Campos de la carta
CARD_MOD_ATTACHMENTS,Attachments,附加效果,Effets attachés,付加効果,부가 효과,Efectos adjuntos
CARD_MOD_MODIFY_UPGRADE,Modify Upgrade,升级修改,Modifier l'amélioration,アップグレードを変更,강화 변경,Modificar mejora
CARD_MOD_UPGRADE_DELTAS,Upgrade Adjustments,升级变更,Différences d'amélioration,アップグレード差分,강화 변화량,Deltas de mejora
CARD_MOD_UPGRADE_NO_DYNAMIC_VARS,No dynamic variables,没有动态变量,Aucune variable dynamique,動的変数はありません,동적 변수가 없습니다,No hay variables dinámicas
CARD_MOD_ENCHANTMENT,Enchantment,附魔,Enchantement,エンチャント,마법 부여,Encantamiento
CARD_MOD_AFFLICTION,Affliction,负面附加,Affliction,災厄,고통,Aflicción
CARD_MOD_AMOUNT,Amount,数量,Quantité,数量,수량,Cantidad
CARD_MOD_MODIFY_NAME,Modify Name,修改名称,Modifier le nom,名前を変更,이름 변경,Modificar nombre
CARD_MOD_MODIFY_DESCRIPTION,Modify Description,修改描述,Modifier la description,説明を変更,설명 변경,Modificar descripción
CARD_MOD_NO_VALID_ATTACHMENTS,No valid attachments available,没有可用的附加效果,Aucun effet attaché valide disponible,利用可能な有効な付加効果がありません,사용 가능한 유효한 부가 효과가 없습니다,No hay efectos adjuntos válidos disponibles
CARD_MOD_HOVER_TIPS,Hover Tips,提示,Infobulles au survol,ホバーのヒント,마우스 오버 도움말,Consejos al pasar el cursor
SORT_COST,Cost,费用,Coût,コスト,비용,Coste
SORT_LIBRARY,Library,图鉴,Bibliothèque,図鑑,도감,Biblioteca
VIEW_UPGRADES,View Upgrades,查看升级,Voir les améliorations,アップグレードを表示,업그레이드 보기,Ver mejoras
UPGRADE_ALL,Upgrade All,升级全部,Tout améliorer,すべてアップグレード,모두 업그레이드,Mejorar todo
SORT_RARITY,Rarity,稀有度,Rareté,レア度,희귀도,Rareza
SORT_TYPE,Type,类型,Type,タイプ,유형,Tipo
CARD_TYPE_ATTACK,Attack,攻击,Attaque,アタック,공격,Ataque
CARD_TYPE_SKILL,Skill,技能,Compétence,スキル,스킬,Habilidad
CARD_TYPE_POWER,Power,能力,Pouvoir,パワー,파워,Poder
RARITY_BASIC,Basic,基础,Basique,ベーシック,기본,Básica
RARITY_COMMON,Common,普通,Commune,コモン,일반,Común
RARITY_UNCOMMON,Uncommon,罕见,Peu commune,アンコモン,고급,Poco común
RARITY_RARE,Rare,稀有,Rare,レア,희귀,Rara
LAYOUT_DEFAULT,Default,默认,Par défaut,デフォルト,기본,Predeterminado
LAYOUT_COMBAT,Combat,战斗,Combat,戦闘,전투,Combate
LAYOUT_ANCIENT,Ancient,先祖,Ancien,古代,고대,Antiguo
SCOPE_SHARED,Shared,共享,Partagé,共有,공유,Compartido
SCOPE_SOLO,Solo,单人,Solo,ソロ,솔로,En solitario
CATEGORY_EVENT,Event,事件,Événement,イベント,이벤트,Evento
CATEGORY_POTION,Potion,药水,Potion,ポーション,포션,Poción
CATEGORY_RELIC,Relic,遗物,Relique,レリック,유물,Reliquia
POWER_TYPE_BUFF,Buff,增益,Bonus,バフ,버프,Mejora
POWER_TYPE_DEBUFF,Debuff,减益,Malus,デバフ,디버프,Perjuicio
POWER_STACK_COUNTER,Counter,计数,Compteur,カウンター,카운터,Contador
POWER_STACK_SINGLE,Single,单层,Unique,単一,단일,Único
FAVORITES_ONLY,Favorites,收藏,Favoris,お気に入り,즐겨찾기,Favoritos
POWER_GIVER_FAVORITES_MODE,Powers,能力,Pouvoirs,パワー,파워,Poderes
POWER_GIVER_ALL_POWERS,All Powers,全部能力,Tous les pouvoirs,すべてのパワー,모든 파워,Todos los poderes
POWER_GIVER_CLEAR_CURRENT_BUFFS,Clear Current Buffs,清除当前增益,Supprimer les bonus actuels,現在のバフを消去,현재 버프 제거,Eliminar mejoras actuales
POWER_GIVER_CLEAR_CURRENT_DEBUFFS,Clear Current Debuffs,清除当前减益,Supprimer les malus actuels,現在のデバフを消去,현재 디버프 제거,Eliminar perjuicios actuales
POWER_GIVER_TARGET,Target,目标,Cible,対象,대상,Objetivo
POWER_GIVER_TARGET_PLAYER,Player,玩家,Joueur,プレイヤー,플레이어,Jugador
POWER_GIVER_TARGET_PLAYERS,Players,玩家,Joueurs,プレイヤー,플레이어,Jugadores
POWER_GIVER_TARGET_MONSTERS,Monsters,怪物,Monstres,モンスター,몬스터,Monstruos
SHARED,Shared,共享,Partagé,共有,공유,Compartido
COLORLESS,Colorless,无色,Incolore,無色,무색,Incolora
EVENT,Event,事件,Événement,イベント,이벤트,Evento
EVENTS,Events,事件,Événements,イベント,이벤트,Eventos
ANCIENTS,Ancients,先祖事件,Événements anciens,古代イベント,고대 이벤트,Eventos antiguos
NONE,None,无,Aucun,なし,없음,Ninguno
OTHER,Other,其他,Autre,その他,기타,Otro
ENUM_POTIONRARITY_COMMON,Common,普通,Commune,コモン,일반,Común
ENUM_POTIONRARITY_UNCOMMON,Uncommon,罕见,Peu commune,アンコモン,고급,Poco común
ENUM_POTIONRARITY_RARE,Rare,稀有,Rare,レア,희귀,Rara
ENUM_POTIONRARITY_EVENT,Event,事件,Événement,イベント,이벤트,Evento
ENUM_POTIONRARITY_TOKEN,Token,令牌,Jeton,トークン,토큰,Ficha
ENUM_RELICRARITY_STARTER,Starter,初始,De départ,スターター,시작,Inicial
ENUM_RELICRARITY_COMMON,Common,普通,Commune,コモン,일반,Común
ENUM_RELICRARITY_UNCOMMON,Uncommon,罕见,Peu commune,アンコモン,고급,Poco común
ENUM_RELICRARITY_RARE,Rare,稀有,Rare,レア,희귀,Rara
ENUM_RELICRARITY_SHOP,Shop,商店,Boutique,ショップ,상점,Tienda
ENUM_RELICRARITY_ANCIENT,Ancient,远古,Ancien,古代,고대,Antiguo
ENUM_RELICRARITY_EVENT,Event,事件,Événement,イベント,이벤트,Evento
HOST_PERMAMODS_TITLE,Host Modifications,主机的永久修改,Modifications de l'hôte,ホストの変更,호스트 변경 사항,Modificaciones del anfitrión
ROOM,Room,房间,Salle,部屋,방,Sala
GO_TO_ROOM,Go to, 前往,Aller à,移動,이동,Ir a
LOADOUTBAG_TITLE,Loadout Bag,装备箱,Sac d'équipement,ロードアウトバッグ,로드아웃 가방,Bolsa de equipamiento
LOADOUTBAG_DESC,"Right-click this relic to obtain any relic you want. Ctrl x5, Shift x10. Ctrl + right click to repeat the last action. Press B to perma ban the hovered relic. Press N to ban the relic for this run only.",右键此遗物来获取任何你想要的遗物。左键获取。Ctrl x5，Shift x10。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的遗物。按 N 键仅在本局游戏中禁用。,"Faites un clic droit sur cette relique pour obtenir la relique de votre choix. Ctrl x5, Maj x10. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la relique survolée. Appuyez sur N pour la bannir uniquement pour cette partie.",このレリックを右クリックすると、好きなレリックを入手できます。Ctrlで5倍、Shiftで10倍。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているレリックを永久に除外します。Nキーでそのレリックをこのラン中のみ除外します。,"이 유물을 우클릭하면 원하는 유물을 얻을 수 있습니다. Ctrl x5, Shift x10. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 유물을 영구적으로 제외합니다. N 키를 눌러 해당 유물을 이번 런에서만 제외합니다.","Haz clic derecho en esta reliquia para obtener cualquier reliquia. Ctrl x5, Mayús x10. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la reliquia sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida."
LOADOUTBAGALT_TITLE,Death Certificate,死亡证明,Certificat de décès,死亡証明書,사망 증명서,Certificado de defunción
LOADOUTBAGALT_DESC,"Right-click this relic to obtain any relic you want. Ctrl x5, Shift x10. Ctrl + right click to repeat the last action. Press B to perma ban the hovered relic. Press N to ban the relic for this run only.",右键此遗物来获取任何你想要的遗物。左键获取。Ctrl x5，Shift x10。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的遗物。按 N 键仅在本局游戏中禁用。,"Faites un clic droit sur cette relique pour obtenir la relique de votre choix. Ctrl x5, Maj x10. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la relique survolée. Appuyez sur N pour la bannir uniquement pour cette partie.",このレリックを右クリックすると、好きなレリックを入手できます。Ctrlで5倍、Shiftで10倍。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているレリックを永久に除外します。Nキーでそのレリックをこのラン中のみ除外します。,"이 유물을 우클릭하면 원하는 유물을 얻을 수 있습니다. Ctrl x5, Shift x10. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 유물을 영구적으로 제외합니다. N 키를 눌러 해당 유물을 이번 런에서만 제외합니다.","Haz clic derecho en esta reliquia para obtener cualquier reliquia. Ctrl x5, Mayús x10. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la reliquia sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida."
THEBIN_TITLE,The Bin,回收桶,La Poubelle,ゴミ箱,쓰레기통,La Papelera
THEBIN_DESC,Right-click this relic to obliterate any relic you want.,右键此遗物来移除任何你不想要的遗物。,Faites un clic droit sur cette relique pour anéantir la relique de votre choix.,このレリックを右クリックすると、好きなレリックを消滅させられます。,이 유물을 우클릭하면 원하는 유물을 소멸시킬 수 있습니다.,Haz clic derecho en esta reliquia para destruir cualquier reliquia.
THEBINALT_TITLE,The Void,虚空,Le Néant,虚無,공허,El Vacío
THEBINALT_DESC,Right-click this relic to void any relic you want.,右键此遗物来吸入任何你不想要的遗物。,Faites un clic droit sur cette relique pour envoyer dans le Néant la relique de votre choix.,このレリックを右クリックすると、好きなレリックを虚無へ送れます。,이 유물을 우클릭하면 원하는 유물을 공허로 보낼 수 있습니다.,Haz clic derecho en esta reliquia para enviar cualquier reliquia al Vacío.
LOADOUTCAULDRON_TITLE,The Cauldron,炼药大锅,Le Chaudron,大釜,가마솥,El Caldero
LOADOUTCAULDRON_DESC,Right-click this relic to obtain any potion you want. Ctrl + right click to repeat the last action.  Press B to perma ban the hovered potion. Press N to ban the potion for this run only.,右键此遗物来获取任何你想要的药水。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的药水。按 N 键仅在本局游戏中禁用。,Faites un clic droit sur cette relique pour obtenir la potion de votre choix. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la potion survolée. Appuyez sur N pour la bannir uniquement pour cette partie.,このレリックを右クリックすると、好きなポーションを入手できます。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているポーションを永久に除外します。Nキーでそのポーションをこのラン中のみ除外します。,이 유물을 우클릭하면 원하는 포션을 얻을 수 있습니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 포션을 영구적으로 제외합니다. N 키를 눌러 해당 포션을 이번 런에서만 제외합니다.,Haz clic derecho en esta reliquia para obtener cualquier poción. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la poción sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida.
LOADOUTCAULDRONALT_TITLE,Mom's Bottle of Pills,妈妈的药瓶,Flacon de pilules de Maman,ママの薬瓶,엄마의 약병,Frasco de pastillas de Mamá
LOADOUTCAULDRONALT_DESC,Right-click this relic to obtain any potion you want. Ctrl + right click to repeat the last action. Press B to perma ban the hovered potion. Press N to ban the potion for this run only.,右键此遗物来获取任何你想要的药水。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的药水。按 N 键仅在本局游戏中禁用。,Faites un clic droit sur cette relique pour obtenir la potion de votre choix. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la potion survolée. Appuyez sur N pour la bannir uniquement pour cette partie.,このレリックを右クリックすると、好きなポーションを入手できます。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているポーションを永久に除外します。Nキーでそのポーションをこのラン中のみ除外します。,이 유물을 우클릭하면 원하는 포션을 얻을 수 있습니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 포션을 영구적으로 제외합니다. N 키를 눌러 해당 포션을 이번 런에서만 제외합니다.,Haz clic derecho en esta reliquia para obtener cualquier poción. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la poción sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida.
CARDPRINTER_TITLE,Card Printer,印卡机,Imprimante à cartes,カードプリンター,카드 프린터,Impresora de cartas
